All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : MH232.fasta
SeqY filename        : MH7422.fasta
SeqX name            : gi|54019969|ref|NC_006360.1|
SeqY name            : gi|525903163|ref|NC_021831.1|
SeqX length          : 892758
SeqY length          : 898495
Min.fragment.length  : 100
Min.Identity         : 50
Tot Hits (seeds)     : 1538493
Tot Hits (seeds) used: 1505352
Total fragments      : 582
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,417553,820068,417695,820210,f,0,143,476,131,0.83,0.92,0,0
Frag,28054,422234,28172,422352,f,0,119,308,98,0.65,0.82,0,0
Frag,22146,381296,22330,381480,f,0,185,388,141,0.52,0.76,0,0
Frag,28034,384757,28167,384890,f,0,134,352,111,0.66,0.83,0,0
Frag,26983,381296,27167,381480,f,0,185,372,139,0.50,0.75,0,0
Frag,395780,737442,395900,737562,f,0,121,340,103,0.70,0.85,0,0
Frag,386388,511939,386548,512099,f,0,161,364,126,0.57,0.78,0,0
Frag,385121,510661,385455,510995,f,0,335,692,254,0.52,0.76,0,0
Frag,385572,497129,385766,497323,f,0,195,508,161,0.65,0.83,0,0
Frag,385572,496309,385766,496503,f,0,195,532,164,0.68,0.84,0,0
Frag,393010,440738,393120,440848,f,0,111,372,102,0.84,0.92,0,0
Frag,641570,683163,641686,683279,f,0,117,372,105,0.79,0.90,0,0
Frag,507313,547963,507454,548104,f,0,142,424,124,0.75,0.87,0,0
Frag,506956,546534,507117,546695,f,0,162,568,152,0.88,0.94,0,0
Frag,401811,440814,401913,440916,f,0,103,212,78,0.51,0.76,0,0
Frag,603355,636566,603504,636715,f,0,150,400,125,0.67,0.83,0,0
Frag,515058,547963,515347,548252,f,0,290,752,239,0.65,0.82,0,0
Frag,513633,546535,515842,548744,f,0,2210,6696,1942,0.76,0.88,0,0
Frag,515827,548720,521292,554185,f,0,5466,20048,5239,0.92,0.96,0,0
Frag,521107,553999,523227,556119,f,0,2121,7756,2030,0.91,0.96,0,0
Frag,523208,556099,523644,556535,f,0,437,1628,422,0.93,0.97,0,0
Frag,523622,556506,523748,556632,f,0,127,484,124,0.95,0.98,0,0
Frag,619586,652462,619774,652650,f,0,189,596,169,0.79,0.89,0,0
Frag,531210,564081,531985,564856,f,0,776,2840,743,0.91,0.96,0,0
Frag,619766,652636,620779,653649,f,0,1014,3640,962,0.90,0.95,0,0
Frag,620498,653367,623671,656540,f,0,3174,10376,2884,0.82,0.91,0,0
Frag,523747,556613,527129,559995,f,0,3383,12612,3268,0.93,0.97,0,0
Frag,534346,567211,534737,567602,f,0,392,1384,369,0.88,0.94,0,0
Frag,611972,644837,612330,645195,f,0,359,1324,345,0.92,0.96,0,0
Frag,527129,559992,527542,560405,f,0,414,1528,398,0.92,0.96,0,0
Frag,529132,561994,536655,569517,f,0,7524,19840,6242,0.66,0.83,0,0
Frag,608929,641790,610308,643169,f,0,1380,5056,1322,0.92,0.96,0,0
Frag,610149,643009,610464,643324,f,0,316,952,277,0.75,0.88,0,0
Frag,536665,569524,537137,569996,f,0,473,1796,461,0.95,0.97,0,0
Frag,610450,643309,611719,644578,f,0,1270,4864,1243,0.96,0.98,0,0
Frag,606929,639787,608980,641838,f,0,2052,7904,2014,0.96,0.98,0,0
Frag,537135,569991,540398,573254,f,0,3264,11368,3053,0.87,0.94,0,0
Frag,611720,644576,611983,644839,f,0,264,1008,258,0.95,0.98,0,0
Frag,542329,575182,543094,575947,f,0,766,2584,706,0.84,0.92,0,0
Frag,618908,651760,619610,652462,f,0,703,2660,684,0.95,0.97,0,0
Frag,540544,573394,541659,574509,f,0,1116,2408,859,0.54,0.77,0,0
Frag,540418,573265,540521,573368,f,0,104,256,84,0.62,0.81,0,0
Frag,543080,575927,543913,576760,f,0,834,3080,802,0.92,0.96,0,0
Frag,541637,574481,541854,574698,f,0,218,784,207,0.90,0.95,0,0
Frag,612326,645170,616245,649089,f,0,3920,14904,3823,0.95,0.98,0,0
Frag,616107,648950,618927,651770,f,0,2821,10276,2695,0.91,0.96,0,0
Frag,546334,579175,548948,581789,f,0,2615,9348,2476,0.89,0.95,0,0
Frag,605039,637879,605172,638012,f,0,134,440,122,0.82,0.91,0,0
Frag,543890,576728,546343,579181,f,0,2454,8824,2330,0.90,0.95,0,0
Frag,606400,639236,606903,639739,f,0,504,1960,497,0.97,0.99,0,0
Frag,570353,603188,572756,605591,f,0,2404,9416,2379,0.98,0.99,0,0
Frag,581556,614391,584565,617400,f,0,3010,11128,2896,0.92,0.96,0,0
Frag,605152,637987,606487,639322,f,0,1336,4864,1276,0.91,0.96,0,0
Frag,572725,605559,572911,605745,f,0,187,460,151,0.61,0.81,0,0
Frag,575848,608682,588855,621689,f,0,13008,37736,11221,0.73,0.86,0,0
Frag,596359,629193,598004,630838,f,0,1646,6296,1610,0.96,0.98,0,0
Frag,572718,605551,576011,608844,f,0,3294,11864,3130,0.90,0.95,0,0
Frag,588830,621663,596373,629206,f,0,7544,29576,7469,0.98,0.99,0,0
Frag,597952,630785,598087,630920,f,0,136,480,128,0.88,0.94,0,0
Frag,604027,636860,604540,637373,f,0,514,1936,499,0.94,0.97,0,0
Frag,604522,637352,605045,637875,f,0,524,2016,514,0.96,0.98,0,0
Frag,570034,602863,570400,603229,f,0,367,1348,352,0.92,0.96,0,0
Frag,568658,601486,570062,602890,f,0,1405,5556,1397,0.99,0.99,0,0
Frag,602131,634952,604040,636861,f,0,1910,7280,1865,0.95,0.98,0,0
Frag,602071,634891,602202,635022,f,0,132,440,121,0.83,0.92,0,0
Frag,598125,630944,602198,635017,f,0,4074,15552,3981,0.95,0.98,0,0
Frag,598061,630879,598213,631031,f,0,153,332,118,0.54,0.77,0,0
Frag,568468,601279,568648,601459,f,0,181,636,170,0.88,0.94,0,0
Frag,548946,581754,551784,584592,f,0,2839,10364,2715,0.91,0.96,0,0
Frag,551635,584442,552443,585250,f,0,809,3028,783,0.94,0.97,0,0
Frag,568100,600907,568488,601295,f,0,389,1532,386,0.98,0.99,0,0
Frag,552322,585128,568128,600934,f,0,15807,61228,15557,0.97,0.98,0,0
Frag,477828,510581,478247,511000,f,0,420,1272,369,0.76,0.88,0,0
Frag,478245,510995,478534,511284,f,0,290,1016,272,0.88,0.94,0,0
Frag,512335,545045,513590,546300,f,0,1256,4840,1233,0.96,0.98,0,0
Frag,480405,513114,482177,514886,f,0,1773,6660,1719,0.94,0.97,0,0
Frag,482123,514831,482405,515113,f,0,283,1092,278,0.96,0.98,0,0
Frag,479241,511939,479713,512411,f,0,473,1772,458,0.94,0.97,0,0
Frag,479636,512333,480456,513153,f,0,821,2932,777,0.89,0.95,0,0
Frag,489675,522366,490585,523276,f,0,911,3460,888,0.95,0.97,0,0
Frag,482492,515182,493199,525889,f,0,10708,37693,10063,0.88,0.94,0,0
Frag,493474,526159,504102,536787,f,0,10629,41612,10516,0.98,0.99,0,0
Frag,504016,536700,504806,537490,f,0,791,2684,731,0.85,0.92,0,0
Frag,507623,540306,508267,540950,f,0,645,2404,623,0.93,0.97,0,0
Frag,506863,539545,507640,540322,f,0,778,2432,693,0.78,0.89,0,0
Frag,507484,540165,507640,540321,f,0,157,596,153,0.95,0.97,0,0
Frag,508247,540925,510284,542962,f,0,2038,7456,1951,0.91,0.96,0,0
Frag,510140,542817,512339,545016,f,0,2200,8664,2183,0.98,0.99,0,0
Frag,504902,537578,505105,537781,f,0,204,648,183,0.79,0.90,0,0
Frag,504952,537627,506385,539060,f,0,1434,4984,1340,0.87,0.93,0,0
Frag,504803,537476,504903,537576,f,0,101,348,94,0.86,0.93,0,0
Frag,506395,539067,506792,539464,f,0,398,1520,389,0.95,0.98,0,0
Frag,493305,525868,493420,525983,f,0,116,317,95,0.68,0.82,0,0
Frag,603745,636176,603894,636325,f,0,150,400,125,0.67,0.83,0,0
Frag,651892,684273,654126,686507,f,0,2235,8660,2200,0.97,0.98,0,0
Frag,651468,683848,652009,684389,f,0,542,1656,478,0.76,0.88,0,0
Frag,648401,680776,651417,683792,f,0,3017,11820,2986,0.98,0.99,0,0
Frag,644054,676428,648478,680852,f,0,4425,17084,4348,0.97,0.98,0,0
Frag,642598,674971,644109,676482,f,0,1512,5632,1460,0.93,0.97,0,0
Frag,641020,673388,642664,675032,f,0,1645,6300,1610,0.96,0.98,0,0
Frag,624522,656587,624684,656749,f,0,163,356,126,0.55,0.77,0,0
Frag,634297,666329,634520,666552,f,0,224,872,221,0.97,0.99,0,0
Frag,637119,669149,637297,669327,f,0,179,428,143,0.60,0.80,0,0
Frag,634521,666550,637246,669275,f,0,2726,10368,2659,0.95,0.98,0,0
Frag,637340,669365,639603,671628,f,0,2264,8808,2233,0.97,0.99,0,0
Frag,639569,671593,641065,673089,f,0,1497,5764,1469,0.96,0.98,0,0
Frag,633320,665342,634291,666313,f,0,972,3680,946,0.95,0.97,0,0
Frag,624924,656941,633357,665374,f,0,8434,32616,8294,0.97,0.98,0,0
Frag,411171,438505,411279,438613,f,0,109,228,83,0.52,0.76,0,0
Frag,407507,434753,407609,434855,f,0,103,252,83,0.61,0.81,0,0
Frag,513633,539639,513793,539799,f,0,161,572,152,0.89,0.94,0,0
Frag,515054,539991,515180,540117,f,0,127,476,123,0.94,0.97,0,0
Frag,395574,418791,395730,418947,f,0,157,548,147,0.87,0.94,0,0
Frag,393361,416576,395577,418792,f,0,2217,8356,2153,0.94,0.97,0,0
Frag,393256,416470,393372,416586,f,0,117,428,112,0.91,0.96,0,0
Frag,650774,673924,650904,674054,f,0,131,372,112,0.71,0.85,0,0
Frag,411290,431987,411416,432113,f,0,127,364,109,0.72,0.86,0,0
Frag,433019,453323,433367,453671,f,0,349,708,263,0.51,0.75,0,0
Frag,433793,454093,433965,454265,f,0,173,388,135,0.56,0.78,0,0
Frag,353379,373500,353505,373626,f,0,127,396,113,0.78,0.89,0,0
Frag,353650,372548,353878,372776,f,0,229,580,187,0.63,0.82,0,0
Frag,478329,497111,478532,497314,f,0,204,512,166,0.63,0.81,0,0
Frag,475566,494108,477455,495997,f,0,1890,7208,1846,0.95,0.98,0,0
Frag,466389,484930,475585,494126,f,0,9197,36164,9119,0.98,0.99,0,0
Frag,477437,495978,477706,496247,f,0,270,808,236,0.75,0.87,0,0
Frag,420290,438829,422804,441343,f,0,2515,9740,2475,0.97,0.98,0,0
Frag,417853,436391,420297,438835,f,0,2445,9356,2392,0.96,0.98,0,0
Frag,422796,441333,423282,441819,f,0,487,1868,477,0.96,0.98,0,0
Frag,433789,452324,434179,452714,f,0,391,1436,375,0.92,0.96,0,0
Frag,425025,443557,433790,452322,f,0,8766,34288,8669,0.98,0.99,0,0
Frag,460456,478984,460852,479380,f,0,397,1540,391,0.97,0.98,0,0
Frag,437739,456255,437868,456384,f,0,130,472,124,0.91,0.95,0,0
Frag,447260,465776,457221,475737,f,0,9962,38912,9845,0.98,0.99,0,0
Frag,444582,463097,447279,465794,f,0,2698,10496,2661,0.97,0.99,0,0
Frag,438073,456587,443420,461934,f,0,5348,20840,5279,0.97,0.99,0,0
Frag,443353,461866,444606,463119,f,0,1254,4632,1206,0.92,0.96,0,0
Frag,457322,475835,460437,478950,f,0,3116,11888,3044,0.95,0.98,0,0
Frag,434209,452720,435609,454120,f,0,1401,5396,1375,0.96,0.98,0,0
Frag,435568,454078,435960,454470,f,0,393,1548,390,0.98,0.99,0,0
Frag,460850,479360,463299,481809,f,0,2450,9624,2428,0.98,0.99,0,0
Frag,464461,482967,466393,484899,f,0,1933,7492,1903,0.97,0.98,0,0
